                                Ref Name           Total Area        Utilization_%       Instance Count 
	 ----------------------------------------------------------------------------------------------------
                  sky130_fd_sc_hd__mux2_1       1113130.080000              14.22                98850 
                 sky130_fd_sc_hd__dfxtp_1        793921.433600              10.14                39658 
          sky130_fd_sc_hd__dlymetal6s2s_1        304416.960000               3.89                24330 
          sky130_fd_sc_hd__dlymetal6s6s_1        240981.120000               3.08                19260 
           sky130_fd_sc_hd__dlygate4sd3_1        144478.566400               1.85                14434 
           sky130_fd_sc_hd__dlygate4sd2_1         62946.620800               0.80                 7187 
                sky130_fd_sc_hd__sdfxtp_1         60538.060800               0.77                 2304 
                   sky130_fd_sc_hd__buf_4         58954.041600               0.75                 7853 
                  sky130_fd_sc_hd__mux2_8         36102.124800               0.46                 1374 
                   sky130_fd_sc_hd__inv_1         14053.478400               0.18                 3744 
                  sky130_fd_sc_hd__conb_1         11523.552000               0.15                 3070 
                   sky130_fd_sc_hd__buf_2          9368.985600               0.12                 1872 
           sky130_fd_sc_hd__dlygate4sd1_1          8206.620800               0.10                  937 
                   sky130_fd_sc_hd__or2_0          7206.912000               0.09                 1152 
               sky130_fd_sc_hd__clkinv_16          2011.929600               0.03                   67 
              sky130_fd_sc_hd__clkinvlp_2          1656.588800               0.02                  331 
                   sky130_fd_sc_hd__buf_6          1621.555200               0.02                  144 
                   sky130_fd_sc_hd__inv_8          1182.384000               0.02                  105 
                  sky130_fd_sc_hd__inv_16           940.902400               0.01                   47 
                  sky130_fd_sc_hd__inv_12           260.249600               0.00                   16 
                   sky130_fd_sc_hd__inv_6           227.718400               0.00                   26 
                sky130_fd_sc_hd__clkinv_8            97.593600               0.00                    6 
                sky130_fd_sc_hd__bufinv_8            87.584000               0.00                    5 
                  sky130_fd_sc_hd__mux2_2            11.260800               0.00                    1 
FPGA_BBOX_AREA 5973088.6656
CORE_BBOX_AREA 7828017.6896
FPGA_BBOX_UTIL 76.3039750605
